name,category,location,area_sqft,price,link,latitude,longitude,nearestMRT,distance
Gallop Green,Condo / Apt,13 Woollerton Park · D10,4241,7421000,https://www.99.co/singapore/sale/property/gallop-green-condo-BJaVjFSXHeUbtqoHQ5KZ4m,1.31522,103.8084292,Farrer Road,0.002461218813923785
Boulevard Vue,Condo,11 Cuscaden Walk · D10,4477,17000000,https://www.99.co/singapore/sale/property/boulevard-vue-condo-5jtQwLJKtBfAV7gBh8LM9M,1.3033306,103.8289857,Orchard,0.0028763023015694563
Gallop Green,Condo / Apt,13 Woollerton Park · D10,4252,8078800,https://www.99.co/singapore/sale/property/gallop-green-condo-4MKAy9ncK633i5aPvNWJHF,1.31522,103.8084292,Farrer Road,0.002461218813923785
Tomlinson Heights,Condo,31 Tomlinson Road · D10,4004,11200000,https://www.99.co/singapore/sale/property/tomlinson-heights-condo-D6iwL3GBB4s4NXksBDpEg8,1.3031333,103.8265904,Orchard,0.00526385109687396
Le Nouvel Ardmore,Condo,1A Ardmore Park · D10,3850,16000000,https://www.99.co/singapore/sale/property/le-nouvel-ardmore-condo-JsCgRxDhJRVxELEC7kjC7U,1.310248,103.827866,Orchard,0.007366127419482539
New Futura,Condo,14 Leonie Hill Road · D9,1830,5500000,https://www.99.co/singapore/sale/property/new-futura-condo-TXmK7rHwujV2LqMA5dHJcD,1.298893,103.8342507,Somerset,0.0046175836852300305
Boulevard Vue,Condo,11 Cuscaden Walk · D10,11980,53000000,https://www.99.co/singapore/sale/property/boulevard-vue-condo-fha8TgPkCEPP4HWirjSRoQ,1.3033306,103.8289857,Orchard,0.0028763023015694563
New Futura,Condo,14 Leonie Hill Road · D9,2691,7800000,https://www.99.co/singapore/sale/property/new-futura-condo-6eiwA3KrJt7mKpRNKstAYj,1.298893,103.8342507,Somerset,0.0046175836852300305
Mint Residences @ Jansen,Condo,20 Jansen Road · D19,721,850000,https://www.99.co/singapore/sale/property/mint-residences-jansen-condo-iNp9ukr7U6ydcPhV6k8iT,1.359662,103.877224,Kovan,0.007955257801602037
Moda,Condo,42 East Coast Road · D15,980,1688000,https://www.99.co/singapore/sale/property/moda-condo-eeGeiuHLenshG5cmx3NmnT,1.304494,103.9029801,Dakota,0.014697395864911488
Suites @ Changi,Apartment,226 Changi Road · D14,1152,1300000,https://www.99.co/singapore/sale/property/suites-changi-condo-nrFSvPwkke6zLpvMNQa6FT,1.3170478,103.9046245,Eunos,0.0032091452522367255
Mint Residences @ Jansen,Apartment,20 Jansen Road · D19,721,850000,https://www.99.co/singapore/sale/property/mint-residences-jansen-condo-NVgv3UPqAyFda3FawgUBTZ,1.359662,103.877224,Kovan,0.007955257801602037
925 Jurong West Street 92,HDB 2 Rooms,Singapore 640925 · D22,785,280000,https://www.99.co/singapore/sale/property/925-jurong-west-street-92-hdb-uz5XcN9soeaKyeNACZqHRQ,1.3402018,103.6893265,Pioneer,0.008497818946646491
Alana,Corner Terrace,Sunrise Terrace · D28,3597,3478000,https://www.99.co/singapore/sale/property/sunrise-terrace-landed-P5YtPGoWs7uwAit94hYqY9,1.3886757,103.8555179,Yio Chu Kang,0.012664006285927388
