name,category,location,area_sqft,price,latitude,longitude,nearestMRT,distance
D'leedon,Condo,1 Leedon Heights · D10,4252,5399500,1.3135159,103.802657,Farrer Road,0.006481658988253892
Parc Botannia,Condo,18 Fernvale Street · D28,1152,1560020,1.397794,103.874894,Thanggam,0.0006749851850287206
Affinity At Serangoon,Condo,26 Serangoon North Avenue 1 · D19,2067,2355002,1.3661523,103.872814,Kovan,0.01371927501655056
The Tapestry,Condo,59 Tampines Street 86 · D18,700,888150,1.3534955,103.9291905,Tampines West,0.011976385692270114
Affinity At Serangoon,Condo,26 Serangoon North Avenue 1 · D19,850,1265001,1.3661523,103.872814,Kovan,0.01371927501655056
Affinity At Serangoon,Condo,26 Serangoon North Avenue 1 · D19,2303,2563003,1.3661523,103.872814,Kovan,0.01371927501655056
Amber 45,Condo,45 Amber Road · D15,614,1429500,1.302636,103.901821,Dakota,0.014230991708241837
Martin Modern,Condo,8 Martin Place · D9,1798,5180300,1.293264,103.837861,Fort Canning,0.006996805428907429
Riverfront Residences,Condo,43 Hougang Avenue 7 · D19,1711,1935100,1.371715,103.900472,Hougang,0.00793738445898828
Amber 45,Condo,45 Amber Road · D15,1184,2600004,1.302636,103.901821,Dakota,0.014230991708241837
Parc Botannia,Condo,10 Fernvale Street · D28,667,881050,1.397794,103.874894,Thanggam,0.0006749851850287206
Kingsford Waterbay,Condo,52 Upper Serangoon View · D19,689,975030,1.3747664,103.9034487,Kangkar,0.009221088770855658
Parc Botannia,Condo,18 Fernvale Street · D28,861,1084010,1.397794,103.874894,Thanggam,0.0006749851850287206
Kingsford Waterbay,Condo,52 Upper Serangoon View · D19,893,1198050,1.3747664,103.9034487,Kangkar,0.009221088770855658
Kingsford Waterbay,Condo,52 Upper Serangoon View · D19,893,1198060,1.3747664,103.9034487,Kangkar,0.009221088770855658
Martin Modern,Condo,8 Martin Place · D9,1733,4843600,1.293264,103.837861,Fort Canning,0.006996805428907429
Amber 45,Condo,45 Amber Road · D15,614,1429003,1.302636,103.901821,Dakota,0.014230991708241837
The Tapestry,Condo,59 Tampines Street 86 · D18,603,750300,1.3534955,103.9291905,Tampines West,0.011976385692270114
Park Colonial,Condo,2 Woodleigh Lane · D13,678,1188100,1.3190408,103.8281809,Stevens,0.002418993385694776
The Tapestry,Condo,59 Tampines Street 86 · D18,603,750250,1.3534955,103.9291905,Tampines West,0.011976385692270114
Martin Modern,Condo,8 Martin Place · D9,1733,4840500,1.293264,103.837861,Fort Canning,0.006996805428907429
Parc Botannia,Condo,12 Fernvale Street · D28,581,815020,1.397794,103.874894,Thanggam,0.0006749851850287206
Affinity At Serangoon,Condo,26 Serangoon North Avenue 1 · D19,635,988400,1.3661523,103.872814,Kovan,0.01371927501655056
The Tapestry,Condo,59 Tampines Street 86 · D18,1432,1600150,1.3534955,103.9291905,Tampines West,0.011976385692270114
Park Colonial,Condo,2 Woodleigh Lane · D13,667,1168100,1.3190408,103.8281809,Stevens,0.002418993385694776
Affinity At Serangoon,Condo,26 Serangoon North Avenue 1 · D19,850,1265000,1.3661523,103.872814,Kovan,0.01371927501655056
Amber 45,Condo,45 Amber Road · D15,614,1429200,1.302636,103.901821,Dakota,0.014230991708241837
Affinity At Serangoon,Condo,26 Serangoon North Avenue 1 · D19,850,1265004,1.3661523,103.872814,Kovan,0.01371927501655056
Martin Modern,Condo,8 Martin Place · D9,764,2000300,1.293264,103.837861,Fort Canning,0.006996805428907429
Riverfront Residences,Condo,43 Hougang Avenue 7 · D19,463,578300,1.371715,103.900472,Hougang,0.00793738445898828
Amber 45,Condo,45 Amber Road · D15,1184,2600003,1.302636,103.901821,Dakota,0.014230991708241837
Parc Botannia,Condo,10 Fernvale Street · D28,592,841050,1.397794,103.874894,Thanggam,0.0006749851850287206
Kingsford Waterbay,Condo,52 Upper Serangoon View · D19,893,1200030,1.3747664,103.9034487,Kangkar,0.009221088770855658
The Greenwich,Condo,7 Seletar Road · D28,646,1000000,1.3874823,103.8693553,Fernvale,0.008182996346092172
Parc Botannia,Condo,10 Fernvale Street · D28,667,881010,1.397794,103.874894,Thanggam,0.0006749851850287206
Park Colonial,Condo,2 Woodleigh Lane · D13,463,787400,1.3190408,103.8281809,Stevens,0.002418993385694776
Kingsford Waterbay,Condo,52 Upper Serangoon View · D19,958,1280050,1.3747664,103.9034487,Kangkar,0.009221088770855658
Kingsford Waterbay,Condo,52 Upper Serangoon View · D19,958,1280060,1.3747664,103.9034487,Kangkar,0.009221088770855658
Martin Modern,Condo,8 Martin Place · D9,857,2000600,1.293264,103.837861,Fort Canning,0.006996805428907429
Amber 45,Condo,45 Amber Road · D15,1130,2380004,1.302636,103.901821,Dakota,0.014230991708241837
The Tapestry,Condo,59 Tampines Street 86 · D18,1133,1280300,1.3534955,103.9291905,Tampines West,0.011976385692270114
The Tapestry,Condo,59 Tampines Street 86 · D18,1133,1280250,1.3534955,103.9291905,Tampines West,0.011976385692270114
Martin Modern,Condo,8 Martin Place · D9,1012,2850500,1.293264,103.837861,Fort Canning,0.006996805428907429
Parc Botannia,Condo,18 Fernvale Street · D28,861,1084020,1.397794,103.874894,Thanggam,0.0006749851850287206
Affinity At Serangoon,Condo,26 Serangoon North Avenue 1 · D19,850,1265002,1.3661523,103.872814,Kovan,0.01371927501655056
The Tapestry,Condo,59 Tampines Street 86 · D18,1485,1680150,1.3534955,103.9291905,Tampines West,0.011976385692270114
Park Colonial,Condo,2 Woodleigh Lane · D13,743,1350000,1.3190408,103.8281809,Stevens,0.002418993385694776
Affinity At Serangoon,Condo,26 Serangoon North Avenue 1 · D19,1076,1595001,1.3661523,103.872814,Kovan,0.01371927501655056
Amber 45,Condo,45 Amber Road · D15,614,1429210,1.302636,103.901821,Dakota,0.014230991708241837
Echelon,Condo,7 Alexandra View · D3,1001,2388000,1.2905851,103.8178849,Redhill,0.0014392004203736732
154 Yung Ho Road,HDB Executive,D22,1593,630000,1.3275113,103.7218348,Lakeside,0.016765205434172467
Echelon,Condo,9 Alexandra View · D3,452,1180000,1.2905851,103.8178849,Redhill,0.0014392004203736732
169C Punggol Field,HDB 4 Rooms,Singapore 823169 · D19,990,440000,1.393032,103.9140232,Coral Edge,0.0018530207338291126
209 Boon Lay Place,HDB 3 Rooms,Singapore 640209 · D22,699,250000,1.346057,103.7144,Lakeside,0.00662844786959582
Sky Green,Condo,568 Macpherson Road · D13,495,950000,1.3326039,103.886324,Tai Seng,0.003555671336049037
125 Marsiling Rise,HDB 3 Rooms,D25,646,259000,1.4385182,103.779564,Woodlands,0.007010872074858058
70 Lorong 4 Toa Payoh,HDB 2 Rooms,Singapore 310070 · D12,689,300000,1.3346565,103.8522867,Toa Payoh,0.005389636396817573
313 Ang Mo Kio Avenue 3,HDB 3 Rooms,Singapore 560313 · D20,785,390000,1.3666695,103.8501126,Ang Mo Kio,0.003343771865722379
Affinity At Serangoon,Condo,26 Serangoon North Avenue 1 · D19,732,1072003,1.3661523,103.872814,Kovan,0.01371927501655056
Martin Modern,Condo,8 Martin Place · D9,764,2014300,1.293264,103.837861,Fort Canning,0.006996805428907429
Riverfront Residences,Condo,43 Hougang Avenue 7 · D19,603,748400,1.371715,103.900472,Hougang,0.00793738445898828
Amber 45,Condo,45 Amber Road · D15,1184,2600002,1.302636,103.901821,Dakota,0.014230991708241837
Parc Botannia,Condo,18 Fernvale Street · D28,969,1216050,1.397794,103.874894,Thanggam,0.0006749851850287206
Kingsford Waterbay,Condo,52 Upper Serangoon View · D19,958,1280030,1.3747664,103.9034487,Kangkar,0.009221088770855658
Parc Botannia,Condo,10 Fernvale Street · D28,592,841010,1.397794,103.874894,Thanggam,0.0006749851850287206
Kingsford Waterbay,Condo,52 Upper Serangoon View · D19,958,1190050,1.3747664,103.9034487,Kangkar,0.009221088770855658
Park Colonial,Condo,2 Woodleigh Lane · D13,506,885400,1.3190408,103.8281809,Stevens,0.002418993385694776
Kingsford Waterbay,Condo,52 Upper Serangoon View · D19,958,1190060,1.3747664,103.9034487,Kangkar,0.009221088770855658
Martin Modern,Condo,8 Martin Place · D9,857,2000620,1.293264,103.837861,Fort Canning,0.006996805428907429
Amber 45,Condo,45 Amber Road · D15,1130,2380003,1.302636,103.901821,Dakota,0.014230991708241837
The Tapestry,Condo,59 Tampines Street 86 · D18,700,888300,1.3534955,103.9291905,Tampines West,0.011976385692270114
Park Colonial,Condo,2 Woodleigh Lane · D13,743,1350100,1.3190408,103.8281809,Stevens,0.002418993385694776
The Tapestry,Condo,59 Tampines Street 86 · D18,700,888250,1.3534955,103.9291905,Tampines West,0.011976385692270114
Parc Botannia,Condo,10 Fernvale Street · D28,667,881020,1.397794,103.874894,Thanggam,0.0006749851850287206
Martin Modern,Condo,8 Martin Place · D9,1798,5185500,1.293264,103.837861,Fort Canning,0.006996805428907429
Affinity At Serangoon,Condo,26 Serangoon North Avenue 1 · D19,732,1072000,1.3661523,103.872814,Kovan,0.01371927501655056
The Tapestry,Condo,59 Tampines Street 86 · D18,926,1135150,1.3534955,103.9291905,Tampines West,0.011976385692270114
Amber 45,Condo,45 Amber Road · D15,614,1429310,1.302636,103.901821,Dakota,0.014230991708241837
Affinity At Serangoon,Condo,26 Serangoon North Avenue 1 · D19,2303,2563000,1.3661523,103.872814,Kovan,0.01371927501655056
Park Colonial,Condo,2 Woodleigh Lane · D13,980,1700000,1.3190408,103.8281809,Stevens,0.002418993385694776
Riverfront Residences,Condo,43 Hougang Avenue 7 · D19,872,1080400,1.371715,103.900472,Hougang,0.00793738445898828
Martin Modern,Condo,8 Martin Place · D9,1733,4840300,1.293264,103.837861,Fort Canning,0.006996805428907429
Affinity At Serangoon,Condo,26 Serangoon North Avenue 1 · D19,614,890200,1.3661523,103.872814,Kovan,0.01371927501655056
Amber 45,Condo,45 Amber Road · D15,1346,2829013,1.302636,103.901821,Dakota,0.014230991708241837
Kingsford Waterbay,Condo,52 Upper Serangoon View · D19,958,1190030,1.3747664,103.9034487,Kangkar,0.009221088770855658
Park Colonial,Condo,2 Woodleigh Lane · D13,1367,2300000,1.3190408,103.8281809,Stevens,0.002418993385694776
Parc Botannia,Condo,10 Fernvale Street · D28,506,640050,1.397794,103.874894,Thanggam,0.0006749851850287206
Kingsford Waterbay,Condo,52 Upper Serangoon View · D19,689,975050,1.3747664,103.9034487,Kangkar,0.009221088770855658
Parc Botannia,Condo,18 Fernvale Street · D28,969,1216010,1.397794,103.874894,Thanggam,0.0006749851850287206
Kingsford Waterbay,Condo,52 Upper Serangoon View · D19,689,975060,1.3747664,103.9034487,Kangkar,0.009221088770855658
Amber 45,Condo,45 Amber Road · D15,1130,2380002,1.302636,103.901821,Dakota,0.014230991708241837
The Tapestry,Condo,59 Tampines Street 86 · D18,1432,1600300,1.3534955,103.9291905,Tampines West,0.011976385692270114
The Tapestry,Condo,59 Tampines Street 86 · D18,1432,1600250,1.3534955,103.9291905,Tampines West,0.011976385692270114
